hr,Density,Links,B,V,Size
665,0.8798066318653041,47865,116,469,585
666,0.8816277345198369,47555,116,465,581
667,0.8811155977087051,46915,115,463,578
668,0.8814263920671244,46222,114,460,574
669,0.8832985547569364,45716,114,454,568
670,0.8833544504276212,44620,112,451,563
671,0.8851730404551201,44811,113,448,561
672,0.8863050121036549,44668,113,446,559
673,0.8849449936224489,44403,112,448,560
674,0.8851984126984127,44614,112,450,562
675,0.8860375275938189,44954,112,453,565
676,0.8883669252660715,45575,113,454,567
677,0.8882773382257386,46480,114,459,573
678,0.8871858446973966,47232,114,467,581
679,0.8882751376412634,49047,116,476,592
680,0.8885731612232521,51284,119,485,604
681,0.8864936793080506,53296,120,501,621
682,0.8874382273234497,55669,123,510,633
683,0.8867104440275172,56714,123,520,643
684,0.883468504177084,57952,124,529,653
685,0.8799088771310993,59869,126,540,666
686,0.8773514674302075,61283,127,550,677
687,0.8763895313792281,62519,129,553,682
688,0.8758153502339548,62704,129,555,684
689,0.8764727282903758,62638,129,554,683
690,0.8757870875661153,62589,129,554,683
691,0.8785654126895003,62589,130,548,678
692,0.8797741707833451,62332,130,545,675
693,0.8808550185873606,61607,130,538,668
694,0.881578947368421,60970,130,532,662
695,0.8813042220936957,60951,130,532,662
696,0.883111954459203,60502,130,527,657
697,0.8834681570819238,60067,130,523,653
698,0.8845273047563124,60254,131,520,651
699,0.8854516291917902,59621,131,514,645
700,0.885748828774369,58610,130,509,639
701,0.8868697638994669,58223,130,505,635
702,0.8869200244200244,58111,130,504,634
703,0.8879549204570218,57044,129,498,627
704,0.8883627156789198,56841,129,496,625
705,0.8887155732022437,56405,129,492,621
706,0.8893520875763747,55894,128,491,619
707,0.8893602715163934,55553,128,488,616
708,0.8897087191358025,55347,128,486,614
709,0.8897551546391752,55236,128,485,613
710,0.8896987133381283,55664,129,485,614
711,0.8890802947650492,55740,129,486,615
712,0.887406277798958,55864,129,488,617
713,0.8862414008755473,56684,130,492,622
714,0.8829863715928983,56497,129,496,625
715,0.8800726452905812,56212,128,499,627
716,0.8737324607947176,59281,132,514,646
717,0.8641688490890147,61375,133,534,667
718,0.8569243156199678,63858,135,552,687
719,0.8475728782884105,65564,135,573,708
720,0.842802650070267,67168,136,586,722
721,0.8412244897959184,70074,140,595,735
722,0.8382261904761905,70411,140,600,740
723,0.8387550679704269,70338,140,599,739
724,0.8431486880466472,69408,140,588,728
725,0.8447136965804167,69438,141,583,724
726,0.8487138106416275,69418,142,576,718
727,0.8498061539971536,69266,142,574,716
728,0.8508771929824561,68870,142,570,712
729,0.8526735635049233,68410,142,565,707
730,0.8550751926891115,68117,142,561,703
731,0.8554325955734406,68024,142,560,702
732,0.8560054423139912,67948,142,559,701
733,0.8561062259064224,67956,142,559,701
734,0.855781089414183,66614,140,556,696
735,0.8530867346938775,66882,140,560,700
736,0.854393627954779,66506,140,556,696
737,0.8533282130056323,66662,140,558,698
738,0.8541420901846546,70957,146,569,715
739,0.8442262895174709,76107,150,601,751
740,0.84038906243661,82859,157,628,785
741,0.8288888888888889,89520,160,675,835
742,0.8270683883309421,95117,165,697,862
743,0.8220867557534031,98985,167,721,888
744,0.8232307451960631,105390,173,740,913
745,0.8245767390504233,107538,176,741,917
746,0.828653808688876,106337,177,725,902
747,0.8307901037509976,104098,175,716,891
748,0.832484601581066,102990,174,711,885
749,0.8338910860967448,101417,173,703,876
750,0.8377700348432056,102187,175,697,872
751,0.8395744820999242,101968,174,698,872
752,0.8453610663999624,108191,178,719,897
753,0.8541302841302841,123251,185,780,965
754,0.8617959061706261,138432,194,828,1022
755,0.8658254156769596,145805,200,842,1042
756,0.8693730186685452,148089,204,835,1039
757,0.8697632711621234,145494,204,820,1024
758,0.869684405940594,140541,202,800,1002
759,0.8698375972741123,137597,201,787,988
760,0.8718482490272373,134439,200,771,971
761,0.8736122177954847,131566,200,753,953
762,0.8750067596798615,129445,201,736,937
763,0.8759471073007702,126591,201,719,920
764,0.8761319805467047,125385,201,712,913
765,0.8764053672316384,124099,200,708,908
766,0.876104167561454,122390,199,702,901
767,0.8765089816900595,121400,199,696,895
768,0.8774927113702624,120392,200,686,886
769,0.8772972010857474,118293,198,681,879
770,0.8766988701490094,117788,197,682,879
771,0.8779433142216221,118978,199,681,880
772,0.8776531838205847,118341,198,681,879
773,0.8779612347451543,118631,199,679,878
774,0.8777980813156693,119133,199,682,881
775,0.8754991778247592,119264,198,688,886
776,0.8718807713782588,121800,199,702,901
777,0.86989910000559,124493,201,712,913
778,0.8654259939859673,129511,205,730,935
779,0.8589403973509934,134888,208,755,963
780,0.8553223114316695,140408,211,778,989
781,0.852804498350295,146812,216,797,1013
782,0.8520233992233031,155991,223,821,1044
783,0.8455344733820774,167913,228,871,1099
784,0.8388717450520982,176153,228,921,1149
785,0.8340939778557926,185319,230,966,1196
786,0.833579699433358,189476,231,984,1215
787,0.8336773890093809,191424,231,994,1225
788,0.8374927886626767,190172,231,983,1214
789,0.8419510096528731,187878,231,966,1197
790,0.8438022710274019,186147,231,955,1186
